original	original_phase2	gsed	gsed2	gsed3	sequential	instrument	seq_phase1	seq_phase2	label
Ma_LF_A03	Ma_LF_A01	mdtsed003	gtogmd003	gl1gmd001	A03	LF	3	1	Moves body in reaction to caregiver
Ma_LF_A02	Ma_LF_A02	mdtsed004	gtogmd002	gl1gmd002	A02	LF	2	2	Moves body, kicking legs and moving arms equally on his/her own
Ma_LF_A06	Ma_LF_A03	mdtgmd004	gtogmd006	gl1gmd003	A06	LF	6	3	Pulls to sit - no head lag
Ma_LF_A01	Ma_LF_A04	ddigmd057	gtogmd001	gl1gmd004	A01	LF	1	4	Lifts head in prone 45 degrees (2X)
Ma_LF_A07	Ma_LF_A05	mdtgmd005	gtogmd007	gl1gmd005	A07	LF	7	5	Lifts head, shoulders, chest when prone (2X)
Ma_LF_A04	Ma_LF_A06	mdtfmd003	gtogmd004	gl1gmd006	A04	LF	4	6	Puts hands together in front of face
Ma_LF_A11	Ma_LF_A07	sgrehd012	gtogmd011	gl1gmd007	A11	LF	11	7	Carries object to mouth to explore (2X)
Ma_LF_A08	Ma_LF_A08	by1mdd051	gtogmd008	gl1gmd008	A08	LF	8	8	Reaches for an object (2X)
Ma_LF_A10	Ma_LF_A09	mdtfmd006	gtogmd010	gl1gmd009	A10	LF	10	9	Grasps hold of large object (2X)
Ma_LF_A05	Ma_LF_A10	ddigmd061	gtogmd005	gl1gmd010	A05	LF	5	10	Balances head while supported
Ma_LF_A12	Ma_LF_A11	dmcgmd003	gtogmd012	gl1gmd011	A12	LF	12	11	Sits supported (with help) (2X)
Ma_LF_A09	Ma_LF_A12	sgrred010	gtogmd009	gl1gmd012	A09	LF	9	12	Resists object being taken away (2X)
Ma_LF_A16	Ma_LF_A13	mdtfmd008	gtogmd016	gl1gmd013	A16	LF	16	13	Sees a small object (2X)
Ma_LF_A13	Ma_LF_A14	by1pdd023	gtogmd013	gl1gmd014	A13	LF	13	14	Sits momentarily (on his/her own) (2X)
Ma_LF_A18	Ma_LF_A15	mdtgmd009	gtogmd018	gl1gmd015	A18	LF	18	15	Sits without help (short time) (2X)
Ma_LF_A20	Ma_LF_A16	mdtfmd007	gtogmd020	gl1gmd016	A20	LF	20	16	Picks object from ground (2X)
Ma_LF_A15	Ma_LF_A17	by1pdd028	gtogmd015	gl1gmd017	A15	LF	15	17	Rolls from back to stomach (2X)
Ma_LF_A22	Ma_LF_A18	mdtgmd010	gtogmd022	gl1gmd018	A22	LF	22	18	Sits by self well (2X)
Ma_LF_A17	Ma_LF_A19	denfmd009	gtogmd017	gl1gmd019	A17	LF	17	19	Rakes (grasps with 3 or 4 fingers) a small object (2X)
Ma_LF_A19	Ma_LF_A20	sgrgmd022	gtogmd019	gl1gmd020	A19	LF	19	20	Turns on floor (2X)
Ma_LF_A26	Ma_LF_A21	kdigmd031	gtogmd026	gl1gmd021	A26	LF	26	21	Moves from lying to sitting
Ma_LF_A27	Ma_LF_A22	kdigmd001	gtogmd027	gl1gmd022	A27	LF	27	22	Stands with support (2X)
Ma_LF_A14	Ma_LF_A23	by1mdd064	gtogmd014	gl1gmd023	A14	LF	14	23	Reaches for a second object (2X)
Ma_LF_A23	Ma_LF_A24	dmcgmd005	gtogmd023	gl1gmd024	A23	LF	23	24	Crawls (2X)
Ma_LF_A25	Ma_LF_A25	mdtgmd012	gtogmd025	gl1gmd025	A25	LF	25	25	Pulls up to standing position (2X)
Ma_LF_A21	Ma_LF_A26	mdtfmd009	gtogmd021	gl1gmd026	A21	LF	21	26	Shifts object from 1 hand to the other (2X)
Ma_LF_A24	Ma_LF_A27	ddifmd010	gtogmd024	gl1gmd027	A24	LF	24	27	Picks up small object between thumb and finger (2X)
Ma_LF_A29	Ma_LF_A28	kdigmd005	gtogmd029	gl1gmd028	A29	LF	29	28	Walks when 1 hand held (2X)
Ma_LF_A28	Ma_LF_A29	dmcgmd009	gtogmd028	gl1gmd029	A28	LF	28	29	Stands alone for 5 seconds or more if put in standing position (2X)
Ma_LF_A30	Ma_LF_A30	ddifmm012	gtogmd030	gl1gmd030	A30	LF	30	30	"Plays ""give-and-take"" (3X)"
Ma_LF_A32	Ma_LF_A31	grigmd203	gtogmd032	gl1gmd031	A32	LF	32	31	Takes few steps alone (2X)
Ma_LF_A36	Ma_LF_A32	mdtgmd018	gtogmd036	gl1gmd032	A36	LF	36	32	Walks
Ma_LF_A37	Ma_LF_A33	mdtgmd019	gtogmd037	gl1gmd033	A37	LF	37	33	Runs (basic), may fall over (2X)
Ma_LF_A34	Ma_LF_A34	mdtgmd017	gtogmd034	gl1gmd034	A34	LF	34	34	Stoops and recovers (2X)
Ma_LF_A31	Ma_LF_A35	kdifmd002	gtogmd031	gl1gmd035	A31	LF	31	35	Releases ball purposefully (2X)
Ma_LF_A38	Ma_LF_A36	mdtgmd021	gtogmd038	gl1gmd036	A38	LF	38	36	Runs well (2X)
Ma_LF_A33	Ma_LF_A37	kdigmd003	gtogmd033	gl1gmd037	A33	LF	33	37	Kicks a ball from stationary position (2X)
Ma_LF_A39	Ma_LF_A38	mdtgmd024	gtogmd039	gl1gmd038	A39	LF	39	38	Runs and kicks a ball well (2X)
Ma_LF_A40	Ma_LF_A39	mdtgmd022	gtogmd040	gl1gmd039	A40	LF	40	39	Kneels and then stands, without using hands (2X)
Ma_LF_A45	Ma_LF_A40	mdtgmd031	gtogmd045	gl1gmd040	A45	LF	45	40	Hops forward on 1 foot 3 steps (2X)
Ma_LF_A42	Ma_LF_A41	kdigmd008	gtogmd042	gl1gmd041	A42	LF	42	41	Jumps with both feet together (2X)
Ma_LF_A43	Ma_LF_A42	mdtgmd029	gtogmd043	gl1gmd042	A43	LF	43	42	Jumps over a piece of paper (widthways) (2X)
Ma_LF_A48	Ma_LF_A43	kdigmd015	gtogmd048	gl1gmd043	A48	LF	48	43	Walks along line heel-to-toe (2X)
Ma_LF_A41	Ma_LF_A44	mdtgmd023	gtogmd041	gl1gmd044	A41	LF	41	44	Throws beanbag onto a cloth (3X)
Ma_LF_A44	Ma_LF_A45	mdtgmd027	gtogmd044	gl1gmd045	A44	LF	44	45	Stands on 1 foot > 5 seconds (2X)
Ma_LF_A47	Ma_LF_A46	mdtgmd030	gtogmd047	gl1gmd046	A47	LF	47	46	Walks on tiptoes 6 or more steps
Ma_LF_A35	Ma_LF_A47	kdigmd034	gtogmd035	gl1gmd047	A35	LF	35	47	Moves from sitting to standing without using hands
